RegionID,RegionName,StateCode,Year,Counts
394865,"Minneapolis-St Paul, MN",MN,2017,69093
394543,"Duluth, MN",MN,2017,4925
395030,"Rochester, MN",MN,2017,4282
395118,"St. Cloud, MN",MN,2017,3302
394823,"Mankato, MN",MN,2017,1554
394410,"Brainerd, MN",MN,2017,1519
394586,"Faribault, MN",MN,2017,1095
394591,"Fergus Falls, MN",MN,2017,318
395234,"Winona, MN",MN,2017,820
395017,"Red Wing, MN",MN,2017,916
786259,"Grand Rapids, MN",MN,2017,900
394379,"Bemidji, MN",MN,2017,708
395228,"Willmar, MN",MN,2017,818
394354,"Austin, MN",MN,2017,851
394702,"Hutchinson, MN",MN,2017,678
394948,"Owatonna, MN",MN,2017,811
394315,"Alexandria, MN",MN,2017,828
394310,"Albert Lea, MN",MN,2017,581
394830,"Marshall, MN",MN,2017,472
395239,"Worthington, MN",MN,2017,129
786257,"Fairmont, MN",MN,2017,350
102001,United States,US,2017,5295181
394865,"Minneapolis-St Paul, MN",MN,2018,67019
394543,"Duluth, MN",MN,2018,5137
395030,"Rochester, MN",MN,2018,4123
395118,"St. Cloud, MN",MN,2018,3567
394823,"Mankato, MN",MN,2018,1526
394410,"Brainerd, MN",MN,2018,1605
394586,"Faribault, MN",MN,2018,1001
394591,"Fergus Falls, MN",MN,2018,880
395234,"Winona, MN",MN,2018,723
395017,"Red Wing, MN",MN,2018,760
786259,"Grand Rapids, MN",MN,2018,795
394379,"Bemidji, MN",MN,2018,696
395228,"Willmar, MN",MN,2018,869
394354,"Austin, MN",MN,2018,884
394702,"Hutchinson, MN",MN,2018,708
394948,"Owatonna, MN",MN,2018,792
394315,"Alexandria, MN",MN,2018,924
394310,"Albert Lea, MN",MN,2018,589
394830,"Marshall, MN",MN,2018,455
395239,"Worthington, MN",MN,2018,188
786257,"Fairmont, MN",MN,2018,356
102001,United States,US,2018,5314672
394865,"Minneapolis-St Paul, MN",MN,2019,66790
394543,"Duluth, MN",MN,2019,5201
395030,"Rochester, MN",MN,2019,4185
395118,"St. Cloud, MN",MN,2019,3241
394823,"Mankato, MN",MN,2019,1435
394410,"Brainerd, MN",MN,2019,1567
394586,"Faribault, MN",MN,2019,1050
394591,"Fergus Falls, MN",MN,2019,897
395234,"Winona, MN",MN,2019,820
395017,"Red Wing, MN",MN,2019,727
786259,"Grand Rapids, MN",MN,2019,754
394379,"Bemidji, MN",MN,2019,650
395228,"Willmar, MN",MN,2019,882
394354,"Austin, MN",MN,2019,882
394702,"Hutchinson, MN",MN,2019,717
394948,"Owatonna, MN",MN,2019,723
394315,"Alexandria, MN",MN,2019,747
394310,"Albert Lea, MN",MN,2019,541
394830,"Marshall, MN",MN,2019,318
395239,"Worthington, MN",MN,2019,180
786257,"Fairmont, MN",MN,2019,448
102001,United States,US,2019,5185648
