RegionID,RegionName,StateCode,Year,Price
394865,"Minneapolis-St Paul, MN",MN,2017,233492
394543,"Duluth, MN",MN,2017,139300
395030,"Rochester, MN",MN,2017,182558
395118,"St. Cloud, MN",MN,2017,164475
394823,"Mankato, MN",MN,2017,171142
394410,"Brainerd, MN",MN,2017,160042
394586,"Faribault, MN",MN,2017,200267
394591,"Fergus Falls, MN",MN,2017,68158
395234,"Winona, MN",MN,2017,144108
395017,"Red Wing, MN",MN,2017,177008
786259,"Grand Rapids, MN",MN,2017,148425
394379,"Bemidji, MN",MN,2017,143775
395228,"Willmar, MN",MN,2017,137033
394354,"Austin, MN",MN,2017,97758
394702,"Hutchinson, MN",MN,2017,150908
394948,"Owatonna, MN",MN,2017,146533
394310,"Albert Lea, MN",MN,2017,90658
102001,United States,US,2017,207375
394865,"Minneapolis-St Paul, MN",MN,2018,249392
394543,"Duluth, MN",MN,2018,142833
395030,"Rochester, MN",MN,2018,193650
395118,"St. Cloud, MN",MN,2018,168017
394823,"Mankato, MN",MN,2018,175883
394410,"Brainerd, MN",MN,2018,174742
394586,"Faribault, MN",MN,2018,207417
394591,"Fergus Falls, MN",MN,2018,173825
395234,"Winona, MN",MN,2018,145375
395017,"Red Wing, MN",MN,2018,194450
786259,"Grand Rapids, MN",MN,2018,138092
394379,"Bemidji, MN",MN,2018,151683
395228,"Willmar, MN",MN,2018,149742
394354,"Austin, MN",MN,2018,94475
394702,"Hutchinson, MN",MN,2018,156475
394948,"Owatonna, MN",MN,2018,165158
394310,"Albert Lea, MN",MN,2018,93308
102001,United States,US,2018,220700
394865,"Minneapolis-St Paul, MN",MN,2019,266825
394543,"Duluth, MN",MN,2019,153683
395030,"Rochester, MN",MN,2019,214833
395118,"St. Cloud, MN",MN,2019,183817
394823,"Mankato, MN",MN,2019,192633
394410,"Brainerd, MN",MN,2019,182183
394586,"Faribault, MN",MN,2019,227433
394591,"Fergus Falls, MN",MN,2019,190050
395234,"Winona, MN",MN,2019,159058
395017,"Red Wing, MN",MN,2019,197500
786259,"Grand Rapids, MN",MN,2019,144967
394379,"Bemidji, MN",MN,2019,157717
395228,"Willmar, MN",MN,2019,156383
394354,"Austin, MN",MN,2019,108700
394702,"Hutchinson, MN",MN,2019,175208
394948,"Owatonna, MN",MN,2019,176317
394310,"Albert Lea, MN",MN,2019,102600
102001,United States,US,2019,233033
